entry_time,exit_time,type,entry,tp,sl,exit,lot,pnl,balance,day_pnl,day_loss_count,exit_reason
2025-06-17 16:00:00,2025-06-17 16:45:00,BUY,3393.3,3398.969285714286,3390.4653571428576,3390.4653571428576,0.3,-85.03928571427878,10012.584642857146,-167.21785714285488,2,sl
2025-06-18 21:45:00,2025-06-18 22:00:00,SELL,3379.07,3373.2857142857147,3381.962142857143,3373.2857142857147,0.3,173.52857142856465,10186.11321428571,173.52857142856465,0,
2025-06-19 03:30:00,2025-06-19 04:00:00,BUY,3381.7,3388.558571428571,3378.270714285714,3378.270714285714,0.3,-102.87857142857774,10083.234642857133,-102.87857142857774,1,sl
2025-06-19 06:00:00,2025-06-19 08:00:00,SELL,3376.14,3371.107857142857,3378.6560714285715,3371.107857142857,0.3,150.96428571428532,10234.198928571419,48.08571428570758,1,
2025-06-19 12:15:00,2025-06-19 12:45:00,BUY,3372.57,3377.252142857143,3370.2289285714287,3370.2289285714287,0.3,-70.23214285714403,10163.966785714274,-22.146428571436445,2,sl
2025-06-20 01:00:00,2025-06-20 09:00:00,SELL,3364.98,3359.83,3367.555,3348.040055357143,0.3,508.1983392857091,10672.165124999983,508.1983392857091,0,
2025-06-23 22:45:00,2025-06-23 23:30:00,SELL,3376.51,3369.684285714286,3379.9228571428575,3369.684285714286,0.3,204.77142857142553,10876.93655357141,204.77142857142553,0,
2025-06-24 20:00:00,2025-06-25 14:30:00,BUY,3319.06,3326.375,3315.4025,3326.375,0.3,219.4500000000016,11096.38655357141,219.4500000000016,0,tp
2025-06-25 18:45:00,2025-06-25 19:30:00,BUY,3325.67,3329.8807142857145,3323.564642857143,3329.8807142857145,0.3,126.32142857143207,11222.707982142842,345.77142857143366,0,tp
2025-06-26 08:45:00,2025-06-26 09:15:00,SELL,3334.23,3330.445,3336.1225,3336.1225,0.3,-56.77499999999781,11165.932982142844,-56.77499999999781,1,
2025-06-26 09:30:00,2025-06-26 10:00:00,BUY,3337.07,3341.2528571428575,3334.9785714285717,3341.2528571428575,0.3,125.48571428571904,11291.418696428562,68.71071428572122,1,tp
2025-06-26 20:00:00,2025-06-26 22:15:00,BUY,3332.62,3340.013571428571,3328.923214285714,3328.923214285714,0.3,-110.90357142857556,11180.515124999987,-42.192857142854336,2,sl
2025-06-30 04:30:00,2025-06-30 05:00:00,BUY,3271.93,3277.5249999999996,3269.1324999999997,3277.5249999999996,0.3,167.849999999994,11348.365124999982,167.849999999994,0,tp
2025-07-02 06:45:00,2025-07-02 08:30:00,BUY,3340.0,3343.7657142857142,3338.117142857143,3338.117142857143,0.3,-56.485714285713584,11291.879410714268,-56.485714285713584,1,sl
2025-07-02 09:15:00,2025-07-02 09:45:00,SELL,3335.76,3330.9814285714288,3338.1492857142857,3330.9814285714288,0.3,143.35714285714403,11435.236553571413,86.87142857143044,1,
2025-07-03 08:00:00,2025-07-03 13:15:00,BUY,3352.67,3356.5842857142857,3350.712857142857,3350.712857142857,0.3,-58.71428571429078,11376.522267857123,-58.71428571429078,1,sl
2025-07-04 20:00:00,2025-07-07 01:00:00,BUY,3336.62,3339.9885714285715,3334.9357142857143,3339.9885714285715,0.3,101.05714285714839,11477.579410714272,101.05714285714839,0,tp
2025-07-07 02:00:00,2025-07-07 06:15:00,SELL,3331.2,3327.875714285714,3332.8621428571428,3312.2391295535713,0.3,568.8261133928563,12046.40552410713,669.8832562500047,0,
2025-07-09 13:45:00,2025-07-09 14:00:00,BUY,3295.43,3299.505,3293.3925,3293.3925,0.3,-61.124999999997264,11985.280524107133,-61.124999999997264,1,sl
2025-07-09 14:15:00,2025-07-09 15:00:00,SELL,3287.7,3283.160714285714,3289.969642857143,3289.969642857143,0.3,-68.08928571429078,11917.191238392843,-129.21428571428805,2,
2025-07-10 15:00:00,2025-07-10 15:15:00,SELL,3319.2,3315.7342857142858,3320.932857142857,3320.932857142857,0.3,-51.98571428571085,11865.205524107132,-51.98571428571085,1,
2025-07-10 16:15:00,2025-07-10 16:30:00,BUY,3324.37,3327.7964285714284,3322.6567857142854,3322.6567857142854,0.3,-51.39642857143372,11813.809095535698,-103.38214285714457,2,sl
2025-07-14 09:30:00,2025-07-14 09:45:00,BUY,3362.68,3367.0421428571426,3360.498928571428,3367.0421428571426,0.3,130.86428571428314,11944.67338124998,130.86428571428314,0,tp
2025-07-14 15:15:00,2025-07-14 15:30:00,SELL,3358.12,3353.775,3360.2925,3353.775,0.3,130.349999999994,12075.023381249976,261.21428571427714,0,
2025-07-15 14:30:00,2025-07-15 15:00:00,SELL,3357.02,3353.4714285714285,3358.7942857142857,3353.4714285714285,0.3,106.45714285714347,12181.480524107119,106.45714285714347,0,
2025-07-17 02:45:00,2025-07-17 03:30:00,SELL,3346.42,3342.275,3348.4925000000003,3342.275,0.3,124.34999999999945,12305.830524107118,124.34999999999945,0,
2025-07-17 17:45:00,2025-07-17 18:00:00,BUY,3334.13,3337.659285714286,3332.365357142857,3332.365357142857,0.3,-52.93928571428751,12252.89123839283,71.41071428571195,1,sl
2025-07-18 19:15:00,2025-07-18 19:30:00,SELL,3353.61,3350.2507142857144,3355.289642857143,3355.289642857143,0.3,-50.389285714286416,12202.501952678544,-50.389285714286416,1,
2025-07-18 20:00:00,2025-07-18 22:30:00,SELL,3352.34,3348.7114285714288,3354.154285714286,3348.7114285714288,0.3,108.8571428571413,12311.359095535685,58.46785714285488,1,
2025-07-23 10:00:00,2025-07-23 10:15:00,BUY,3428.49,3432.820714285714,3426.324642857143,3426.324642857143,0.3,-64.96071428570758,12246.398381249977,-64.96071428570758,1,sl
2025-07-23 10:45:00,2025-07-23 11:00:00,SELL,3420.66,3416.9985714285713,3422.490714285714,3422.490714285714,0.3,-54.9214285714288,12191.47695267855,-119.88214285713639,2,
2025-07-25 21:30:00,2025-07-28 01:00:00,BUY,3338.72,3344.4842857142858,3335.837857142857,3335.837857142857,0.3,-86.4642857142826,12105.012666964267,-86.4642857142826,1,sl
2025-07-28 06:00:00,2025-07-28 06:45:00,BUY,3337.99,3342.2085714285713,3335.880714285714,3342.2085714285713,0.3,126.55714285714565,12231.569809821412,40.09285714286305,1,tp
2025-07-28 23:15:00,2025-07-28 23:45:00,BUY,3318.09,3323.9657142857145,3315.152142857143,3315.152142857143,0.3,-88.13571428570867,12143.434095535704,-48.04285714284562,2,sl
2025-07-29 01:00:00,2025-07-29 07:45:00,SELL,3312.69,3308.8342857142857,3314.6178571428572,3314.6178571428572,0.3,-57.83571428571577,12085.598381249987,-57.83571428571577,1,
2025-07-29 08:15:00,2025-07-29 08:30:00,BUY,3317.6,3321.285,3315.7574999999997,3315.7574999999997,0.3,-55.275000000006,12030.323381249982,-113.11071428572177,2,sl
